test_system,scenario,users,repetition,host_energy,selection_rank
trainticket,B,100,12,307.15950001211,24
trainticket,B,100,13,262.64407605454545,14
trainticket,B,100,14,312.4267597454545,26
trainticket,B,100,15,260.1721550756505,18
trainticket,B,100,16,245.6196191454545,25
trainticket,B,100,17,289.5150195090911,9
trainticket,B,100,18,285.94730605454544,6
trainticket,B,100,19,284.0052143272728,5
trainticket,B,100,20,229.33442938177305,28
trainticket,B,100,21,292.0984515454545,12
trainticket,B,100,22,249.93465476363627,23
trainticket,B,100,23,289.0657742181819,8
trainticket,B,100,24,292.19637425454556,13
trainticket,B,100,25,237.31408534545446,27
trainticket,B,100,26,296.97514350909097,20
trainticket,B,100,27,276.88329763636364,2
trainticket,B,100,28,276.6878962,3
trainticket,B,100,29,417.3063139818181,29
trainticket,B,100,30,270.0210949636363,7
trainticket,B,1000,1,241.7471230727273,27
trainticket,B,1000,2,326.14637729090896,16
trainticket,B,1000,3,285.9657539272728,12
trainticket,B,1000,4,290.61524967272726,7
trainticket,B,1000,5,246.17434272727274,26
trainticket,B,1000,6,260.1804438727272,21
trainticket,B,1000,7,266.21235879999995,17
trainticket,B,1000,8,298.2301666486997,2
trainticket,B,1000,9,306.3792749852635,10
trainticket,B,1000,10,302.08310283636365,5
trainticket,B,1000,11,341.48382998181813,23
trainticket,B,1000,12,296.7589370809708,0
trainticket,B,1000,13,298.05740381818174,1
trainticket,B,1000,14,295.37041445454537,3
trainticket,B,1000,15,301.2558171454546,4
trainticket,B,1000,16,270.5512043272727,15
trainticket,B,1000,17,257.9794901636364,22
trainticket,B,1000,18,353.232755290909,28
trainticket,B,1000,19,302.1401739090908,6
trainticket,B,1000,20,290.38941623636373,8
trainticket,B,1000,21,251.74398900938934,24
trainticket,B,1000,22,346.3061425636363,25
trainticket,B,1000,23,332.7480362909092,20
trainticket,B,1000,24,264.3792619840224,19
trainticket,B,1000,25,308.3723674,11
trainticket,B,1000,26,304.50757603760746,9
trainticket,B,1000,27,272.00988325454546,14
trainticket,B,1000,28,264.8915562909091,18
trainticket,B,1000,29,313.17352350909084,13
trainticket,B,1000,30,356.7548304181819,29
